dataset,target,feature,coefficient
SAbDab_Chen,developability,Fv_gravy,-1.1023
SAbDab_Chen,developability,H_frac_T,0.6558
SAbDab_Chen,developability,L_frac_W,-0.654
SAbDab_Chen,developability,H3_cdr_charge,-0.6089
SAbDab_Chen,developability,L3_cdr_net_acidic,-0.5566
SAbDab_Chen,developability,L_charge_pH7,0.5167
SAbDab_Chen,developability,L3_cdr_charge,-0.4878
SAbDab_Chen,developability,L_frac_T,0.4108
SAbDab_Chen,developability,H3_cdr_net_acidic,-0.4062
SAbDab_Chen,developability,L_frac_G,-0.3963
SAbDab_Chen,developability,H_charge_pH7,0.3884
SAbDab_Chen,developability,H_aromaticity,-0.3869
TAP,CDR_Length,H_len,1.6437
TAP,CDR_Length,L_len,1.496
TAP,CDR_Length,H_mw_kda,1.1828
TAP,CDR_Length,L_mw_kda,0.9438
TAP,CDR_Length,Fv_len_ratio,0.4128
TAP,CDR_Length,L_frac_G,0.2933
TAP,CDR_Length,H_frac_G,0.2005
TAP,CDR_Length,L_frac_A,0.1868
TAP,CDR_Length,L_frac_M,-0.177
TAP,CDR_Length,H_frac_W,-0.169
TAP,CDR_Length,L_frac_I,-0.1431
TAP,CDR_Length,L_aromaticity,-0.1408
TAP,PSH,L_len,4.6231
TAP,PSH,H_len,3.8779
TAP,PSH,L_frac_G,3.8559
TAP,PSH,H3_cdr_net_acidic,-2.0681
TAP,PSH,H_mw_kda,2.0469
TAP,PSH,L_frac_Q,-1.8959
TAP,PSH,Fv_gravy,1.8447
TAP,PSH,L3_cdr_net_acidic,-1.8266
TAP,PSH,L_frac_E,-1.8161
TAP,PSH,L_frac_T,1.8009
TAP,PSH,L_aromaticity,-1.723
TAP,PSH,H_frac_G,1.6783
TAP,PPC,H3_cdr_gravy,-0.0999
TAP,PPC,H_pI,-0.0975
TAP,PPC,L_frac_Q,-0.0875
TAP,PPC,H_frac_R,0.0738
TAP,PPC,L_instability,0.0719
TAP,PPC,L_frac_M,-0.0708
TAP,PPC,H3_cdr_net_acidic,-0.0699
TAP,PPC,H_frac_I,0.0696
TAP,PPC,H_mw_kda,0.068
TAP,PPC,L3_cdr_len,0.0672
TAP,PPC,H_charge_pH7,0.0647
TAP,PPC,H3_cdr_len,-0.0634
TAP,PNC,Fv_pI,-0.2514
TAP,PNC,L_pI,0.1611
TAP,PNC,Fv_qH_x_qL,-0.1279
TAP,PNC,L3_cdr_net_acidic,0.1197
TAP,PNC,L_frac_D,0.1001
TAP,PNC,L_frac_H,-0.0882
TAP,PNC,H_frac_R,0.0872
TAP,PNC,L_aromaticity,-0.0784
TAP,PNC,L3_cdr_gravy,-0.0777
TAP,PNC,L_frac_Q,-0.0711
TAP,PNC,L_frac_R,0.0655
TAP,PNC,H_frac_D,0.0653
TAP,SFvCSP,Fv_qH_x_qL,3.7326
TAP,SFvCSP,H_pI,1.1576
TAP,SFvCSP,Fv_charge_pH7,0.9891
TAP,SFvCSP,L_pI,0.9444
TAP,SFvCSP,L3_cdr_gravy,0.8599
TAP,SFvCSP,H_charge_pH5.5,0.8451
TAP,SFvCSP,H_charge_pH7,0.8207
TAP,SFvCSP,H_instability,-0.7678
TAP,SFvCSP,Fv_pI,-0.7588
TAP,SFvCSP,H_frac_R,0.5922
TAP,SFvCSP,L_charge_pH5.5,0.5854
TAP,SFvCSP,H_frac_Q,-0.5653
