dataset,target,features,n_features,split,metric,mean,std
SAbDab_Chen,developability,random,64,random,roc_auc,0.4712034224766918,0.014149433818415104
SAbDab_Chen,developability,random,64,cluster,roc_auc,0.4754226004657043,0.010743001533729896
SAbDab_Chen,developability,aac,42,random,roc_auc,0.8406505128364771,0.008919755535158327
SAbDab_Chen,developability,aac,42,cluster,roc_auc,0.7860631910161926,0.05395382597424129
SAbDab_Chen,developability,biophys,28,random,roc_auc,0.7716579097604583,0.021059347172363137
SAbDab_Chen,developability,biophys,28,cluster,roc_auc,0.733881281851158,0.055937687224135814
SAbDab_Chen,developability,cdr,11,random,roc_auc,0.6596422841064887,0.026341640023996745
SAbDab_Chen,developability,cdr,11,cluster,roc_auc,0.6239859768711942,0.06633324036544572
SAbDab_Chen,developability,cheap,81,random,roc_auc,0.8398705529631861,0.007649389402081844
SAbDab_Chen,developability,cheap,81,cluster,roc_auc,0.7710198905632912,0.050857480839936055
TAP,CDR_Length,random,64,random,r2,-0.49154623939078607,0.19898665385289793
TAP,CDR_Length,random,64,cluster,r2,-0.4097775497197653,0.21388254661633352
TAP,CDR_Length,aac,42,random,r2,0.9889111009215904,0.0023459847498620737
TAP,CDR_Length,aac,42,cluster,r2,0.987322423076869,0.003947542172990532
TAP,CDR_Length,biophys,28,random,r2,0.8673364502265745,0.011375662820899557
TAP,CDR_Length,biophys,28,cluster,r2,0.8710221245777012,0.03260394871513052
TAP,CDR_Length,cdr,11,random,r2,0.4149062669556212,0.08756508186823062
TAP,CDR_Length,cdr,11,cluster,r2,0.4435361425422263,0.16693378969384398
TAP,CDR_Length,cheap,81,random,r2,0.9895083889742177,0.0023802891713889983
TAP,CDR_Length,cheap,81,cluster,r2,0.9885101328205537,0.003960663891448675
TAP,PSH,random,64,random,r2,-0.6499580028562824,0.16520066523850163
TAP,PSH,random,64,cluster,r2,-0.6211939359218274,0.13326831002078945
TAP,PSH,aac,42,random,r2,0.31932795606657727,0.12492159776003044
TAP,PSH,aac,42,cluster,r2,0.2623418695341543,0.17634974985932433
TAP,PSH,biophys,28,random,r2,0.22953145487463794,0.09671285325553215
TAP,PSH,biophys,28,cluster,r2,0.24977747480823514,0.06033383419075545
TAP,PSH,cdr,11,random,r2,0.14803237252670007,0.08707384669653725
TAP,PSH,cdr,11,cluster,r2,0.17102814313302447,0.08737567051924981
TAP,PSH,cheap,81,random,r2,0.25801299803537014,0.13203188158931095
TAP,PSH,cheap,81,cluster,r2,0.17625230843468145,0.20235924198146638
TAP,PPC,random,64,random,r2,-0.39388056793825404,0.1853758708673512
TAP,PPC,random,64,cluster,r2,-0.6150960128674872,0.5728257620035422
TAP,PPC,aac,42,random,r2,-0.04349915000186124,0.23001557511648502
TAP,PPC,aac,42,cluster,r2,-0.0984532604442178,0.3069955073717469
TAP,PPC,biophys,28,random,r2,0.04240550433192285,0.2728384312345842
TAP,PPC,biophys,28,cluster,r2,-0.031381602919110005,0.2864664698413677
TAP,PPC,cdr,11,random,r2,0.05067586431240963,0.17432624042708192
TAP,PPC,cdr,11,cluster,r2,0.021595643094038185,0.09741475871482416
TAP,PPC,cheap,81,random,r2,-0.09973595975791225,0.3928185674018823
TAP,PPC,cheap,81,cluster,r2,-0.06410384028498839,0.3085193430503563
TAP,PNC,random,64,random,r2,-0.5015851921394816,0.21104179181095725
TAP,PNC,random,64,cluster,r2,-0.48468323745912817,0.31260860435684323
TAP,PNC,aac,42,random,r2,0.16290359459143275,0.10574846237877836
TAP,PNC,aac,42,cluster,r2,-0.05205523694615364,0.26060301890371257
TAP,PNC,biophys,28,random,r2,0.18814802307050246,0.09103340331516804
TAP,PNC,biophys,28,cluster,r2,0.12493263853400101,0.14937872994945248
TAP,PNC,cdr,11,random,r2,0.1421712449659979,0.11075496371878045
TAP,PNC,cdr,11,cluster,r2,0.06285402632142174,0.09571132185520871
TAP,PNC,cheap,81,random,r2,0.1650395100777518,0.08300562065216055
TAP,PNC,cheap,81,cluster,r2,-0.054835327498946575,0.3298112070205728
TAP,SFvCSP,random,64,random,r2,-0.5325735818199462,0.3340871978084443
TAP,SFvCSP,random,64,cluster,r2,-0.5591860571283475,0.1948882771305141
TAP,SFvCSP,aac,42,random,r2,0.42444118760011607,0.0849240021811778
TAP,SFvCSP,aac,42,cluster,r2,0.3963937645021499,0.04154863287957119
TAP,SFvCSP,biophys,28,random,r2,0.7176793632516679,0.10368485920868968
TAP,SFvCSP,biophys,28,cluster,r2,0.6923908525049405,0.04762032804461645
TAP,SFvCSP,cdr,11,random,r2,0.13033805356614764,0.0832547074803239
TAP,SFvCSP,cdr,11,cluster,r2,0.1188243968518882,0.10504657445684228
TAP,SFvCSP,cheap,81,random,r2,0.6658645421828846,0.11320351315700995
TAP,SFvCSP,cheap,81,cluster,r2,0.6435674442537256,0.06253153201295003
