dataset,target,split,features,head,n_train,mean,std
SAbDab_Chen,developability,cluster,aac,linear,1802.3,0.7986581275521925,0.044525657445228746
SAbDab_Chen,developability,random,esm2+cheap,gbm,1806.0,0.8943353280065841,0.011699717665582993
TAP,CDR_Length,cluster,cheap,linear,180.1,0.9940882723350644,0.0015474545294153067
TAP,CDR_Length,random,cheap,linear,180.0,0.9945994863418737,0.001356651260082985
TAP,PNC,cluster,cheap,linear,180.1,0.6006334999456634,0.09300356558436278
TAP,PNC,random,cheap,linear,180.0,0.5648297970912488,0.10320632533124365
TAP,PPC,cluster,cheap,gbm,180.1,0.3700066239700853,0.12318901791272704
TAP,PPC,random,cheap,gbm,180.0,0.4160439720679019,0.09042954371208846
TAP,PSH,cluster,cheap,linear,180.1,0.540874563863792,0.07478578006406926
TAP,PSH,random,esm2+cheap,linear,180.0,0.5275171866737175,0.11266700167288453
TAP,SFvCSP,cluster,biophys,linear,180.1,0.8228397706428929,0.049650281060762025
TAP,SFvCSP,random,biophys,linear,180.0,0.8149901698452305,0.05871217049087528
