dataset,target,split,task,features,head,n_request,n_train,seed,n_test,auc,ap,degenerate,spearman,pearson,r2,rmse
SAbDab_Chen,developability,random,classification,random,linear,25,25,0,603,0.45579712629882374,0.19212937556471132,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,0,603,0.45133911731422105,0.18152663963030663,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,0,603,0.45571139535681215,0.1814981017367839,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,0,603,0.4177497342340798,0.16800450108126253,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,0,603,0.4206302938856693,0.17659309481249186,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,0,603,0.4417543979973252,0.17667116221313928,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,0,603,0.4534652446761085,0.18673897002063689,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,1,603,0.5294914440519873,0.20606420470853276,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,1,603,0.5122595247076576,0.20341778754399764,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,1,603,0.4688796680497926,0.2042774832466242,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,1,603,0.4980796268989405,0.2006119050400665,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,1,603,0.5402592503686431,0.22131909719376974,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,1,603,0.5042179623469702,0.20232812970545772,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,1,603,0.48189362504715205,0.2003086401878846,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,2,603,0.5492438530914578,0.23988672437953748,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,2,603,0.5427625938753815,0.22291103541473742,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,2,603,0.5180549363876411,0.21828934497458294,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,2,603,0.5290284969651247,0.22951742138175454,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,2,603,0.5008573094201159,0.20150858244678094,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,2,603,0.4985082816089983,0.19397132425160368,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,2,603,0.49466753540687913,0.20458098318320778,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,3,603,0.5190494153149755,0.2146692482942087,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,3,603,0.48796337574157267,0.20260851755996778,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,3,603,0.45171633345907203,0.18127561672299367,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,3,603,0.4578375227186996,0.19052457054562227,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,3,603,0.4105997736703131,0.17848338762678972,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,3,603,0.41025684990226674,0.1748534182953783,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,3,603,0.42982065086931176,0.18227792689687855,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,4,603,0.48208223311957754,0.2019442358091465,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,4,603,0.4682281128905044,0.2027819659156766,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,4,603,0.470628579266829,0.19385773217685348,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,4,603,0.47380062412125784,0.19900442565917045,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,4,603,0.46397585816672954,0.18447844575392836,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,4,603,0.4884777613936422,0.19059950891326333,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,4,603,0.4908439353931621,0.1981205208450625,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,5,603,0.5015260107678063,0.20557418754679355,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,5,603,0.4923185075957615,0.1937309972845124,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,5,603,0.4965707623195364,0.20025007399328115,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,5,603,0.4878776447995611,0.20495518512279165,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,5,603,0.4948732896677069,0.19894306558238817,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,5,603,0.4829223963512911,0.1915680163210649,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,5,603,0.46224409313809545,0.20031934389655193,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,6,603,0.46783375055725107,0.18315584647323613,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,6,603,0.43873666883851725,0.17073857873242232,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,6,603,0.474023524570488,0.1893142722958043,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,6,603,0.4763554061932032,0.18146500256165599,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,6,603,0.496279277116697,0.1928296304944081,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,6,603,0.5068241829841227,0.19707840987290465,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,6,603,0.4919584376393128,0.19526897006156388,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,7,603,0.4578032303418951,0.18907133247379918,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,7,603,0.46028942766023123,0.19364618720013735,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,7,603,0.4657419155721684,0.20114601553754335,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,7,603,0.4906896196975413,0.2148872083266218,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,7,603,0.4937244950447516,0.1947275253940906,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,7,603,0.500857309420116,0.20535693824926654,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,7,603,0.48359109769898156,0.1896782674064135,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,8,603,0.47697266897568674,0.19777867497956225,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,8,603,0.48978087171221846,0.19838246469979764,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,8,603,0.49339871746510755,0.204384847320202,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,8,603,0.49420458832001646,0.2040604443669511,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,8,603,0.5009944789273344,0.2158571284863786,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,8,603,0.5262165220671444,0.22675771509011936,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,8,603,0.504578032303419,0.20741394487535456,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,9,603,0.5133225883886012,0.20524262025875908,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,9,603,0.5141113130551078,0.20514839988995467,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,9,603,0.49387881074037243,0.19452211682603687,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,9,603,0.5328863893556463,0.2115830622822873,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,9,603,0.49389595692877475,0.2005210240720423,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,9,603,0.4861630259593293,0.19195914802170738,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,9,603,0.5298172216316314,0.22182637569721209,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,10,603,0.49758238743527317,0.1970795754541035,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,10,603,0.47311477658516515,0.19268931867772598,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,10,603,0.5413394602379892,0.23919277342769601,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,10,603,0.5003086313912417,0.21729936963794727,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,10,603,0.4461781146051233,0.1915519655181525,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,10,603,0.49005521072665553,0.20208371016154641,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,10,603,0.47380062412125784,0.18551073256122663,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,11,603,0.4917698295668872,0.19397736367340568,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,11,603,0.5107335139398512,0.20902125112405684,False,,,,
