dataset,target,split,features,head,n_request,mean,std,count,n_train,sem
SAbDab_Chen,developability,cluster,aac,gbm,100,0.6015319324111856,0.06835911228998774,20,100.0,0.01528556219619539
SAbDab_Chen,developability,cluster,aac,gbm,1000,0.7156315700368826,0.028502638445304443,20,1000.0,0.006373383710179965
SAbDab_Chen,developability,cluster,aac,gbm,200,0.6290372789911902,0.048605789869927946,20,200.0,0.010868585024922954
SAbDab_Chen,developability,cluster,aac,gbm,25,0.5282280450243599,0.06623167946814545,20,25.0,0.014809853755475035
SAbDab_Chen,developability,cluster,aac,gbm,50,0.5635231481851752,0.051298613918643286,20,50.0,0.011470718787360324
SAbDab_Chen,developability,cluster,aac,gbm,500,0.6806366001149743,0.04752547891799885,20,500.0,0.010627020152387857
SAbDab_Chen,developability,cluster,aac,gbm,all,0.7291292123392651,0.036791348125810634,20,1802.3,0.008226795539317206
SAbDab_Chen,developability,cluster,aac,linear,100,0.6585631246378927,0.0683054724558109,20,100.0,0.015273567964643265
SAbDab_Chen,developability,cluster,aac,linear,1000,0.78541182111057,0.04793273097434214,20,1000.0,0.010718084480583876
SAbDab_Chen,developability,cluster,aac,linear,200,0.6993232145055065,0.06484167458593357,20,200.0,0.014499039214906797
SAbDab_Chen,developability,cluster,aac,linear,25,0.5722895413526314,0.06890268334678536,20,25.0,0.015407108379555477
SAbDab_Chen,developability,cluster,aac,linear,50,0.6072501502977318,0.07556250727539239,20,50.0,0.01689629028180998
SAbDab_Chen,developability,cluster,aac,linear,500,0.7582727878298009,0.04364449585302399,20,500.0,0.00975920595710693
SAbDab_Chen,developability,cluster,aac,linear,all,0.7986581275521925,0.044525657445228746,20,1802.3,0.00995623967904011
SAbDab_Chen,developability,cluster,aac,mlp,100,0.6598334210487465,0.06720257399656973,20,100.0,0.015026952371928963
SAbDab_Chen,developability,cluster,aac,mlp,1000,0.7469953687143271,0.04047929856224536,20,1000.0,0.009051446326669012
SAbDab_Chen,developability,cluster,aac,mlp,200,0.6968315122545077,0.05433592621776108,20,200.0,0.01214988246433268
SAbDab_Chen,developability,cluster,aac,mlp,25,0.5816017058312805,0.06943570717745894,20,25.0,0.015526296131456823
SAbDab_Chen,developability,cluster,aac,mlp,50,0.6027780948100082,0.07126992021312721,20,50.0,0.015936438634753875
SAbDab_Chen,developability,cluster,aac,mlp,500,0.7333846999016711,0.043169102661343994,20,500.0,0.009652904807843225
SAbDab_Chen,developability,cluster,aac,mlp,all,0.7421129289481498,0.05123303989559309,20,1802.3,0.011456055990050486
SAbDab_Chen,developability,cluster,biophys,gbm,100,0.6220251902494002,0.06072471440303749,20,100.0,0.013578458931945238
SAbDab_Chen,developability,cluster,biophys,gbm,1000,0.7120129622617333,0.04532588225270052,20,1000.0,0.010135175385718965
SAbDab_Chen,developability,cluster,biophys,gbm,200,0.6562856799682313,0.05299343694155208,20,200.0,0.0118496927362659
SAbDab_Chen,developability,cluster,biophys,gbm,25,0.5648485421888567,0.06938055232863781,20,25.0,0.015513963132331547
SAbDab_Chen,developability,cluster,biophys,gbm,50,0.6034457942988812,0.05392786240208474,20,50.0,0.012058636621231657
SAbDab_Chen,developability,cluster,biophys,gbm,500,0.6764259775619786,0.05034789397692716,20,500.0,0.011258131345636135
SAbDab_Chen,developability,cluster,biophys,gbm,all,0.7221920834440082,0.044709220218918884,20,1802.3,0.009997285563051066
SAbDab_Chen,developability,cluster,biophys,linear,100,0.6650429341111603,0.05042118053055611,20,100.0,0.011274518717211237
SAbDab_Chen,developability,cluster,biophys,linear,1000,0.7377699661503565,0.04209787141916891,20,1000.0,0.009413370220130722
SAbDab_Chen,developability,cluster,biophys,linear,200,0.6874631980072995,0.033390124582997095,20,200.0,0.007466258834476832
SAbDab_Chen,developability,cluster,biophys,linear,25,0.5995727271271042,0.07390369099878283,20,25.0,0.01652536768614177
SAbDab_Chen,developability,cluster,biophys,linear,50,0.6329733283979257,0.043207090446979346,20,50.0,0.00966139913494276
SAbDab_Chen,developability,cluster,biophys,linear,500,0.7168577051949665,0.042025586650216405,20,500.0,0.009397206854419155
SAbDab_Chen,developability,cluster,biophys,linear,all,0.7442874302900331,0.04278178349566056,20,1802.3,0.009566297609497558
SAbDab_Chen,developability,cluster,biophys,mlp,100,0.6594453130362906,0.060143834082645585,20,100.0,0.013448570143626423
SAbDab_Chen,developability,cluster,biophys,mlp,1000,0.6956633170673594,0.04047862601030294,20,1000.0,0.009051295939482848
SAbDab_Chen,developability,cluster,biophys,mlp,200,0.6620030176778536,0.04229569698464364,20,200.0,0.009457605361339605
SAbDab_Chen,developability,cluster,biophys,mlp,25,0.5791042954558127,0.07594296197253245,20,25.0,0.016981362538326408
SAbDab_Chen,developability,cluster,biophys,mlp,50,0.6157117613472514,0.06641863462079865,20,50.0,0.014851658198482675
SAbDab_Chen,developability,cluster,biophys,mlp,500,0.682429094435202,0.035258922957240584,20,500.0,0.007884134854581785
SAbDab_Chen,developability,cluster,biophys,mlp,all,0.7012475459091174,0.03878442882608571,20,1802.3,0.008672461932363
SAbDab_Chen,developability,cluster,cheap,gbm,100,0.6508415184774995,0.04409705240564456,20,100.0,0.009860400678639185
SAbDab_Chen,developability,cluster,cheap,gbm,1000,0.7506564060410981,0.041395996006034386,20,1000.0,0.009256426106580267
SAbDab_Chen,developability,cluster,cheap,gbm,200,0.671437715086474,0.03988261279969385,20,200.0,0.008918023334041864
SAbDab_Chen,developability,cluster,cheap,gbm,25,0.556946792821565,0.051373361100956916,20,25.0,0.011487432765438309
SAbDab_Chen,developability,cluster,cheap,gbm,50,0.6025584955595196,0.053161109850463045,20,50.0,0.011887185538496905
SAbDab_Chen,developability,cluster,cheap,gbm,500,0.7130510364304852,0.04719930408201448,20,500.0,0.010554085241806769
SAbDab_Chen,developability,cluster,cheap,gbm,all,0.767856623680578,0.04103881986086914,20,1802.3,0.009176559092527185
SAbDab_Chen,developability,cluster,cheap,linear,100,0.6893149804865546,0.0633916079657324,20,100.0,0.01417479446143948
SAbDab_Chen,developability,cluster,cheap,linear,1000,0.7757064231491089,0.04574277510172679,20,1000.0,0.010228395460694597
SAbDab_Chen,developability,cluster,cheap,linear,200,0.7271434055658269,0.042401064656742676,20,200.0,0.00948116628908404
SAbDab_Chen,developability,cluster,cheap,linear,25,0.6089808161474488,0.07614314250397736,20,25.0,0.01702612426593469
SAbDab_Chen,developability,cluster,cheap,linear,50,0.6278446735911821,0.06987221740655437,20,50.0,0.015623902785969963
SAbDab_Chen,developability,cluster,cheap,linear,500,0.7465677282552281,0.048107234092075984,20,500.0,0.010757104563937728
SAbDab_Chen,developability,cluster,cheap,linear,all,0.787354803179795,0.04292864682348676,20,1802.3,0.00959913724793968
SAbDab_Chen,developability,cluster,cheap,mlp,100,0.6767061153173384,0.05837222822433016,20,100.0,0.013052427030773407
SAbDab_Chen,developability,cluster,cheap,mlp,1000,0.7442810691190188,0.042582868432661194,20,1000.0,0.009521818849236035
