dataset,target,split,head,n_request,n_seeds,mean_delta,sd_delta,p_wilcoxon
SAbDab_Chen,developability,cluster,gbm,100,20,-0.031539914053929516,0.04458594979691095,0.009435653686523438
SAbDab_Chen,developability,cluster,gbm,1000,20,0.009671087491061103,0.032061534515820264,0.20244979858398438
SAbDab_Chen,developability,cluster,gbm,200,20,0.005219454606166402,0.04768514098829352,0.6215133666992188
SAbDab_Chen,developability,cluster,gbm,25,20,-0.012072010314609475,0.09379118884783173,0.7011814117431641
SAbDab_Chen,developability,cluster,gbm,50,20,-0.026960590258656165,0.06004841477497153,0.04844093322753906
SAbDab_Chen,developability,cluster,gbm,500,20,0.009323926883483514,0.030025285021641035,0.14290618896484375
SAbDab_Chen,developability,cluster,gbm,all,20,0.011208020027655868,0.030725160888674045,0.15364646911621094
SAbDab_Chen,developability,cluster,linear,100,20,-0.05320638478683496,0.06519912749260091,0.0023250579833984375
SAbDab_Chen,developability,cluster,linear,1000,20,-0.0118357827382163,0.03728495287397082,0.13272666931152344
SAbDab_Chen,developability,cluster,linear,200,20,-0.03398733196824166,0.054824810828620445,0.013616561889648438
SAbDab_Chen,developability,cluster,linear,25,20,-0.06552136364231659,0.06019419109035102,5.7220458984375e-06
SAbDab_Chen,developability,cluster,linear,50,20,-0.04328173941307016,0.06912259511008029,0.012079238891601562
SAbDab_Chen,developability,cluster,linear,500,20,-0.00591738729016954,0.04003168664284768,0.49800872802734375
SAbDab_Chen,developability,cluster,linear,all,20,-0.0050310655241803835,0.039511554004679685,0.6215133666992188
SAbDab_Chen,developability,cluster,mlp,100,20,-0.0247417735092265,0.058099784601684516,0.069580078125
SAbDab_Chen,developability,cluster,mlp,1000,20,0.00601899281891422,0.037605812442758145,0.2305126190185547
SAbDab_Chen,developability,cluster,mlp,200,20,-0.01434731269929206,0.048198958072320115,0.3117942810058594
SAbDab_Chen,developability,cluster,mlp,25,20,-0.013672701786527372,0.08578328296907022,0.40909767150878906
SAbDab_Chen,developability,cluster,mlp,50,20,-0.021477713991292863,0.06262563410724346,0.21616744995117188
SAbDab_Chen,developability,cluster,mlp,500,20,-0.0011656261695080273,0.050296886574317676,0.6215133666992188
SAbDab_Chen,developability,cluster,mlp,all,20,0.026381440153193512,0.02786182093301075,0.000850677490234375
SAbDab_Chen,developability,random,gbm,100,20,-0.0010437742189911225,0.027126363967697093,0.8123550415039062
SAbDab_Chen,developability,random,gbm,1000,20,-0.003578409519563769,0.013283135258710091,0.36827659606933594
SAbDab_Chen,developability,random,gbm,200,20,-0.005385617777168117,0.023181194265199177,0.40909767150878906
SAbDab_Chen,developability,random,gbm,25,20,-0.030670244504646636,0.062239411019025366,0.026641845703125
SAbDab_Chen,developability,random,gbm,50,20,-0.01123289667706868,0.05250620979803478,0.3299827575683594
SAbDab_Chen,developability,random,gbm,500,20,-0.000917321079524036,0.015735536227550414,0.7561664581298828
SAbDab_Chen,developability,random,gbm,all,20,0.0006382668632762822,0.00981656287960595,0.7561664581298828
SAbDab_Chen,developability,random,linear,100,20,-0.020038750385789256,0.03185953801510603,0.013616561889648438
SAbDab_Chen,developability,random,linear,1000,20,0.012782483453928201,0.020628552417408713,0.01923370361328125
SAbDab_Chen,developability,random,linear,200,20,-0.012679606323514253,0.03374159280850861,0.11398696899414062
SAbDab_Chen,developability,random,linear,25,20,-0.017182195397963052,0.0449057796978557,0.10539817810058594
SAbDab_Chen,developability,random,linear,50,20,-0.03475875312917938,0.047495066764839014,0.0019855499267578125
SAbDab_Chen,developability,random,linear,500,20,-0.0021724220705736765,0.01611859511155602,0.47490501403808594
SAbDab_Chen,developability,random,linear,all,20,0.03344964164466239,0.01575587880634812,3.814697265625e-06
SAbDab_Chen,developability,random,mlp,100,20,-0.011559102911422776,0.032407116983742365,0.11398696899414062
SAbDab_Chen,developability,random,mlp,1000,20,0.01194146291279453,0.01892107903908339,0.01531219482421875
SAbDab_Chen,developability,random,mlp,200,20,-0.005520215356126351,0.023404666154219787,0.38837623596191406
SAbDab_Chen,developability,random,mlp,25,20,-0.008123864065018352,0.05988853707719222,0.34881019592285156
SAbDab_Chen,developability,random,mlp,50,20,-0.020381245499125532,0.04919495561650271,0.15364646911621094
SAbDab_Chen,developability,random,mlp,500,20,0.00473491992730019,0.023553053668710553,0.6215133666992188
SAbDab_Chen,developability,random,mlp,all,20,0.0037104351702616943,0.0154022763236638,0.2773551940917969
TAP,CDR_Length,cluster,gbm,100,20,-0.17505034671512668,0.052075838648315644,1.9073486328125e-06
TAP,CDR_Length,cluster,gbm,150,20,-0.1597273243556459,0.04559812938368402,1.9073486328125e-06
TAP,CDR_Length,cluster,gbm,25,20,-0.3330183964404415,0.16991710977199462,1.9073486328125e-06
TAP,CDR_Length,cluster,gbm,50,20,-0.23271157680416876,0.11549769557273178,1.9073486328125e-06
TAP,CDR_Length,cluster,gbm,all,20,-0.1576951860236659,0.03601884509342046,1.9073486328125e-06
TAP,CDR_Length,cluster,linear,100,20,-0.05384222152363061,0.017802061622603244,1.9073486328125e-06
TAP,CDR_Length,cluster,linear,150,20,-0.031461981022255406,0.011752377828837578,1.9073486328125e-06
TAP,CDR_Length,cluster,linear,25,20,-0.13529284453539117,0.1650899764555222,0.0007076263427734375
TAP,CDR_Length,cluster,linear,50,20,-0.05411651358479984,0.07343071282587137,0.01068878173828125
TAP,CDR_Length,cluster,linear,all,20,-0.026461572905330154,0.007585433950589373,1.9073486328125e-06
TAP,CDR_Length,cluster,mlp,100,20,-0.053122396141813834,0.18231947020330166,0.17685317993164062
TAP,CDR_Length,cluster,mlp,150,20,-0.09517472903768824,0.1635891779379827,0.017181396484375
TAP,CDR_Length,cluster,mlp,25,20,-0.10394638007198753,0.22932959400026315,0.08969497680664062
TAP,CDR_Length,cluster,mlp,50,20,-0.15845394956868175,0.19579017221182493,0.0014324188232421875
TAP,CDR_Length,cluster,mlp,all,20,-0.06543603434006677,0.14666536641146252,0.069580078125
TAP,CDR_Length,random,gbm,100,20,-0.1968494318797844,0.06147608769901178,1.9073486328125e-06
TAP,CDR_Length,random,gbm,150,20,-0.17374925898987376,0.04255347571839253,1.9073486328125e-06
TAP,CDR_Length,random,gbm,25,20,-0.2816956061873562,0.1639605028368478,1.9073486328125e-06
TAP,CDR_Length,random,gbm,50,20,-0.22917368228520676,0.11803636855746477,1.9073486328125e-06
TAP,CDR_Length,random,gbm,all,20,-0.17433758512080821,0.03821127374318395,1.9073486328125e-06
TAP,CDR_Length,random,linear,100,20,-0.0369719099231534,0.04057637833234777,0.0031528472900390625
TAP,CDR_Length,random,linear,150,20,-0.03015253933861206,0.008614626626144805,1.9073486328125e-06
TAP,CDR_Length,random,linear,25,20,-0.04721380087730444,0.10887317850523946,0.1230926513671875
TAP,CDR_Length,random,linear,50,20,-0.05375891768298975,0.05296395470889054,0.0007076263427734375
TAP,CDR_Length,random,linear,all,20,-0.025424433393046574,0.00784733905265712,1.9073486328125e-06
TAP,CDR_Length,random,mlp,100,20,-0.059929282170598605,0.24491583060555963,0.21616744995117188
TAP,CDR_Length,random,mlp,150,20,-0.027089574827110968,0.20765292243814706,0.4304332733154297
TAP,CDR_Length,random,mlp,25,20,-0.07685073112843498,0.2780614697204072,0.09730720520019531
TAP,CDR_Length,random,mlp,50,20,-0.05906857971504609,0.22715833213528633,0.1893482208251953
TAP,CDR_Length,random,mlp,all,20,-0.03172524543209586,0.22046077528508776,0.6215133666992188
TAP,PNC,cluster,gbm,100,20,-0.06711040646610807,0.1215707605515528,0.029575347900390625
TAP,PNC,cluster,gbm,150,20,-0.08677082011279877,0.1051105644763365,0.0031528472900390625
TAP,PNC,cluster,gbm,25,20,-0.0460891610344706,0.17984005585375204,0.26109886169433594
TAP,PNC,cluster,gbm,50,20,-0.09590490572298585,0.18728981743255846,0.013616561889648438
TAP,PNC,cluster,gbm,all,20,-0.13757115647632592,0.11076618771252844,3.62396240234375e-05
TAP,PNC,cluster,linear,100,20,-0.1029102530323244,0.09964728687085572,0.0001049041748046875
