dataset,target,split,features,threshold,n_required
SAbDab_Chen,developability,cluster,aac,0.7,500.0
SAbDab_Chen,developability,cluster,biophys,0.7,500.0
SAbDab_Chen,developability,cluster,cheap,0.7,200.0
SAbDab_Chen,developability,cluster,esm2,0.7,500.0
SAbDab_Chen,developability,cluster,esm2+cheap,0.7,500.0
SAbDab_Chen,developability,cluster,random,0.7,
SAbDab_Chen,developability,random,aac,0.7,200.0
SAbDab_Chen,developability,random,biophys,0.7,200.0
SAbDab_Chen,developability,random,cheap,0.7,100.0
SAbDab_Chen,developability,random,esm2,0.7,200.0
SAbDab_Chen,developability,random,esm2+cheap,0.7,100.0
SAbDab_Chen,developability,random,random,0.7,
TAP,CDR_Length,cluster,aac,0.5,25.0
TAP,CDR_Length,cluster,biophys,0.5,25.0
TAP,CDR_Length,cluster,cheap,0.5,25.0
TAP,CDR_Length,cluster,esm2,0.5,25.0
TAP,CDR_Length,cluster,esm2+cheap,0.5,25.0
TAP,CDR_Length,cluster,random,0.5,
TAP,CDR_Length,random,aac,0.5,25.0
TAP,CDR_Length,random,biophys,0.5,25.0
TAP,CDR_Length,random,cheap,0.5,25.0
TAP,CDR_Length,random,esm2,0.5,25.0
TAP,CDR_Length,random,esm2+cheap,0.5,25.0
TAP,CDR_Length,random,random,0.5,
TAP,PNC,cluster,aac,0.5,150.0
TAP,PNC,cluster,biophys,0.5,150.0
TAP,PNC,cluster,cheap,0.5,100.0
TAP,PNC,cluster,esm2,0.5,180.1
TAP,PNC,cluster,esm2+cheap,0.5,150.0
TAP,PNC,cluster,random,0.5,
TAP,PNC,random,aac,0.5,180.0
TAP,PNC,random,biophys,0.5,
TAP,PNC,random,cheap,0.5,100.0
TAP,PNC,random,esm2,0.5,
TAP,PNC,random,esm2+cheap,0.5,180.0
TAP,PNC,random,random,0.5,
TAP,PPC,cluster,aac,0.5,
TAP,PPC,cluster,biophys,0.5,
TAP,PPC,cluster,cheap,0.5,
TAP,PPC,cluster,esm2,0.5,
TAP,PPC,cluster,esm2+cheap,0.5,
TAP,PPC,cluster,random,0.5,
TAP,PPC,random,aac,0.5,
TAP,PPC,random,biophys,0.5,
TAP,PPC,random,cheap,0.5,
TAP,PPC,random,esm2,0.5,
TAP,PPC,random,esm2+cheap,0.5,
TAP,PPC,random,random,0.5,
TAP,PSH,cluster,aac,0.5,150.0
TAP,PSH,cluster,biophys,0.5,
TAP,PSH,cluster,cheap,0.5,150.0
TAP,PSH,cluster,esm2,0.5,150.0
TAP,PSH,cluster,esm2+cheap,0.5,150.0
TAP,PSH,cluster,random,0.5,
TAP,PSH,random,aac,0.5,180.0
TAP,PSH,random,biophys,0.5,
TAP,PSH,random,cheap,0.5,180.0
TAP,PSH,random,esm2,0.5,180.0
TAP,PSH,random,esm2+cheap,0.5,180.0
TAP,PSH,random,random,0.5,
TAP,SFvCSP,cluster,aac,0.5,100.0
TAP,SFvCSP,cluster,biophys,0.5,25.0
TAP,SFvCSP,cluster,cheap,0.5,25.0
TAP,SFvCSP,cluster,esm2,0.5,50.0
TAP,SFvCSP,cluster,esm2+cheap,0.5,25.0
TAP,SFvCSP,cluster,random,0.5,
TAP,SFvCSP,random,aac,0.5,100.0
TAP,SFvCSP,random,biophys,0.5,25.0
TAP,SFvCSP,random,cheap,0.5,25.0
TAP,SFvCSP,random,esm2,0.5,50.0
TAP,SFvCSP,random,esm2+cheap,0.5,50.0
TAP,SFvCSP,random,random,0.5,
