dataset,target,split,features,n_max_measured,score_at_n_max,ceiling,fit_r2,n_points,n_for_0.8,n_for_0.85,n_for_0.9,max_extrapolation_factor,reliable,n_for_0.99,n_for_0.6,n_for_0.7
SAbDab_Chen,developability,cluster,aac,1802.3,0.7986581275521925,0.9999999999999999,0.9890150337141227,7,1725.9246036297372,8451.911320947664,79316.04264221645,44.0,False,,,
SAbDab_Chen,developability,cluster,biophys,1802.3,0.7442874302900331,0.8315160213751769,0.9985776456408626,7,119069.21011359869,,,66.1,False,,,
SAbDab_Chen,developability,cluster,cheap,1802.3,0.787354803179795,0.8933360595957759,0.9805278512718358,7,2802.891557884932,66870.27635440683,,37.1,False,,,
SAbDab_Chen,developability,cluster,esm2,1802.3,0.7823237376556146,0.9284526451077465,0.9928771415897649,7,2859.655758590411,24167.887578363272,1949661.5027937621,1081.8,False,,,
SAbDab_Chen,developability,cluster,esm2+cheap,1802.3,0.7894165885833515,0.9999999999999999,0.9900626148483159,7,2012.6748395410102,9382.864522652766,82152.43092009389,45.6,False,,,
SAbDab_Chen,developability,cluster,random,1802.3,0.4744510850193593,0.5073915944377246,-0.0028027863427149136,7,,,,,False,,,
SAbDab_Chen,developability,random,aac,1806.0,0.884623726895511,0.9999999999999999,0.9886970881900083,7,386.7484947397902,1105.368591383377,4856.391001092269,2.7,True,,,
SAbDab_Chen,developability,random,biophys,1806.0,0.8732802373032476,0.9999999999999118,0.9668462313383014,7,494.1843861850714,1824.4270972186043,11497.4852050436,6.4,True,,,
SAbDab_Chen,developability,random,cheap,1806.0,0.8910882685778951,0.9999999999999989,0.9833913840681513,7,315.9553534651039,921.0355685969591,4160.684251288109,2.3,True,,,
SAbDab_Chen,developability,random,esm2,1806.0,0.8917265354411714,0.9999999999999999,0.9820413561426022,7,346.0394473299059,970.1436276316033,4148.092567571806,2.3,True,,,
SAbDab_Chen,developability,random,esm2+cheap,1806.0,0.8943353280065841,0.9999999999998859,0.9842255064986428,7,316.911645382478,859.8150511430634,3510.2839453102706,1.9,True,,,
SAbDab_Chen,developability,random,random,1806.0,0.48346164397654406,0.5118278694146293,-0.005383718311007257,7,,,,,False,,,
TAP,CDR_Length,cluster,aac,180.1,0.993889334032068,0.9972349082657063,0.997500723560262,5,,,,0.8,True,136.61913373318657,,
TAP,CDR_Length,cluster,biophys,180.1,0.9290778038659804,0.9365181692392006,0.9998244465657713,5,,,,,False,,,
TAP,CDR_Length,cluster,cheap,180.1,0.9940882723350644,0.9999999999999999,0.9628739101662157,5,,,,1.0,True,187.87178497779033,,
TAP,CDR_Length,cluster,esm2,180.1,0.9676266994297341,0.9999999999994716,0.9998820836557272,5,,,,2.7,True,486.58111138739724,,
TAP,CDR_Length,cluster,esm2+cheap,180.1,0.9729342816747162,0.9999999999999999,0.9996191387708977,5,,,,2.4,True,433.54678190476807,,
TAP,CDR_Length,cluster,random,180.1,0.007604386285097216,0.03308070497250353,-0.0017102454100346165,5,,,,,False,,,
TAP,CDR_Length,random,aac,180.0,0.9944201700257393,0.9944201700257395,0.9978071263109177,5,,,,0.6,True,104.21391260555703,,
TAP,CDR_Length,random,biophys,180.0,0.9302441792240325,0.9341732869588742,0.9999800132640058,5,,,,,False,,,
TAP,CDR_Length,random,cheap,180.0,0.9945994863418737,0.999999999999978,0.9991093984051803,5,,,,0.9,True,155.89266083717322,,
TAP,CDR_Length,random,esm2,180.0,0.9691750529488271,0.9999999999764483,0.9999477706453505,5,,,,2.9,True,516.7892052930468,,
TAP,CDR_Length,random,esm2+cheap,180.0,0.9736705630844747,0.9999999999998792,0.999926491471649,5,,,,2.5,True,444.39688243744337,,
TAP,CDR_Length,random,random,180.0,0.016853823442801653,0.04347535361750411,-0.0007837042028253638,5,,,,,False,,,
TAP,PNC,cluster,aac,180.1,0.5385080685323743,0.8385080685323733,0.9861410754214802,5,,,,12.4,False,,424.9335572660058,2229.9595942371993
TAP,PNC,cluster,biophys,180.1,0.49953648005406714,0.6952868808724987,0.9705997665654106,5,,,,10.2,False,,1835.632980858886,
TAP,PNC,cluster,cheap,180.1,0.6006334999456634,0.8476501089911979,0.9998528871328457,5,,,,4.8,True,,176.59347063779734,856.5435466993143
TAP,PNC,cluster,esm2,180.1,0.5133352378801013,0.8133352378801012,0.9770665538639275,5,,,,30.6,False,,632.4911488862587,5505.755674081131
TAP,PNC,cluster,esm2+cheap,180.1,0.5335866903902203,0.8335866903902056,0.9834452653306178,5,,,,16.2,False,,447.66356899916445,2919.6073989492716
TAP,PNC,cluster,random,180.1,-0.010386025455688428,0.03235800512370363,-0.0022392397852317725,5,,,,,False,,,
TAP,PNC,random,aac,180.0,0.5038038103846643,0.8038038103846642,0.9900787283325801,5,,,,24.4,False,,592.6484518600113,4383.013636505944
TAP,PNC,random,biophys,180.0,0.476964024892237,0.49493199666646054,0.999408029333761,5,,,,,False,,,
TAP,PNC,random,cheap,180.0,0.5648297970912488,0.6426247963983276,0.999208955338404,5,,,,2.1,True,,385.9714343319224,
TAP,PNC,random,esm2,180.0,0.48803782820242453,0.7880378282024244,0.9898239744324031,5,,,,54.8,False,,877.2488971149378,9871.461481796032
